None	2022-10-11-18-22-08	{"algo": "pasting", "cost": "power", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [10, 10, 10], "lr": 0.001, "epoch": 10, "train_freq": 1, "train_cut": 10, "decay": 0.1, "scheduler_step": 200000, "retrain": false, "pasting_cutoff": 454, "pasting_T": 100, "pasting_algo": "deep_hedging", "n_sample": 128, "transfer_learning": true}
None	2022-10-11-19-03-40	{"algo": "pasting", "cost": "power", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [10, 10, 10], "lr": 0.001, "epoch": 10, "train_freq": 1, "train_cut": 10, "decay": 0.1, "scheduler_step": 200000, "retrain": false, "pasting_cutoff": 454, "pasting_T": 100, "pasting_algo": "deep_hedging", "n_sample": 128, "transfer_learning": true}
None	2022-10-11-19-20-29	{"algo": "pasting", "cost": "power", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [10, 10, 10], "lr": 0.001, "epoch": 10, "train_freq": 1, "train_cut": 10, "decay": 0.1, "scheduler_step": 200000, "retrain": false, "pasting_cutoff": 454, "pasting_T": 100, "pasting_algo": "deep_hedging", "n_sample": 128, "transfer_learning": true}
None	2022-10-11-19-23-51	{"algo": "pasting", "cost": "power", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [10, 10, 10], "lr": 0.001, "epoch": 10, "train_freq": 1, "train_cut": 10, "decay": 0.1, "scheduler_step": 200000, "retrain": false, "pasting_cutoff": 454, "pasting_T": 50, "pasting_algo": "deep_hedging", "n_sample": 128, "transfer_learning": true}
None	2022-10-11-19-28-36	{"algo": "pasting", "cost": "power", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [10, 10, 10], "lr": 0.001, "epoch": 10, "train_freq": 1, "train_cut": 10, "decay": 0.1, "scheduler_step": 200000, "retrain": false, "pasting_cutoff": 484, "pasting_T": 20, "pasting_algo": "deep_hedging", "n_sample": 128, "transfer_learning": true}
None	2022-10-11-19-29-14	{"algo": "pasting", "cost": "power", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [10, 10, 10], "lr": 0.001, "epoch": 10, "train_freq": 1, "train_cut": 10, "decay": 0.1, "scheduler_step": 200000, "retrain": false, "pasting_cutoff": 404, "pasting_T": 100, "pasting_algo": "deep_hedging", "n_sample": 128, "transfer_learning": true}
None	2022-10-11-19-34-42	{"algo": "pasting", "cost": "power", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [10, 10, 10], "lr": 0.001, "epoch": 10, "train_freq": 1, "train_cut": 10, "decay": 0.1, "scheduler_step": 200000, "retrain": false, "pasting_cutoff": 494, "pasting_T": 10, "pasting_algo": "deep_hedging", "n_sample": 128, "transfer_learning": true}
None	2022-10-11-19-35-37	{"algo": "pasting", "cost": "power", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [10, 10, 10], "lr": 0.001, "epoch": 10, "train_freq": 1, "train_cut": 10, "decay": 0.1, "scheduler_step": 200000, "retrain": false, "pasting_cutoff": 454, "pasting_T": 50, "pasting_algo": "deep_hedging", "n_sample": 128, "transfer_learning": true}
None	2022-10-11-20-24-26	{"algo": "pasting", "cost": "power", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [10, 10, 10], "lr": 0.001, "epoch": 10, "train_freq": 1, "train_cut": 10, "decay": 0.1, "scheduler_step": 200000, "retrain": false, "pasting_cutoff": 454, "pasting_T": 50, "pasting_algo": "deep_hedging", "n_sample": 128, "transfer_learning": true}
None	2022-10-11-20-26-09	{"algo": "pasting", "cost": "power", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [10, 10, 10], "lr": 0.001, "epoch": 10, "train_freq": 1, "train_cut": 10, "decay": 0.1, "scheduler_step": 200000, "retrain": false, "pasting_cutoff": 4990, "pasting_T": 50, "pasting_algo": "deep_hedging", "n_sample": 128, "transfer_learning": true}
None	2022-10-11-23-42-01	{"algo": "pasting", "cost": "power", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [10, 10, 10], "lr": 0.001, "epoch": 10, "train_freq": 1, "train_cut": 10, "decay": 0.1, "scheduler_step": 200000, "retrain": false, "pasting_cutoff": 4990, "pasting_T": 50, "pasting_algo": "deep_hedging", "n_sample": 128, "transfer_learning": true}
None	2022-10-12-00-59-32	{"algo": "pasting", "cost": "power", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [10, 10, 10], "lr": 0.001, "epoch": 10, "train_freq": 1, "train_cut": 10, "decay": 0.1, "scheduler_step": 200000, "retrain": false, "pasting_cutoff": 4990, "pasting_T": 50, "pasting_algo": "deep_hedging", "n_sample": 128, "transfer_learning": true}
None	2022-10-12-01-00-33	{"algo": "pasting", "cost": "power", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [10, 10, 10], "lr": 0.001, "epoch": 10, "train_freq": 1, "train_cut": 10, "decay": 0.1, "scheduler_step": 200000, "retrain": false, "pasting_cutoff": 4990, "pasting_T": 50, "pasting_algo": "deep_hedging", "n_sample": 128, "transfer_learning": true}
None	2022-10-12-01-01-35	{"algo": "pasting", "cost": "power", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [10, 10, 10], "lr": 0.001, "epoch": 10, "train_freq": 1, "train_cut": 10, "decay": 0.1, "scheduler_step": 200000, "retrain": false, "pasting_cutoff": 454, "pasting_T": 50, "pasting_algo": "deep_hedging", "n_sample": 128, "transfer_learning": true}
